Programa,Fines de Aprendizaje del Programa,Semestre,Clave de UF (GCA),Unidad de Formación,Tipo de UF,Semanas de la UF,Créditos Académicos de la UF,Criterios de Evaluación,Tipo de Evaluación,Formato de Impartición,"Otras Propiedades (ED, LAB, SOS, SH)",Competencia común ,Clave de la competencia,Disciplina de la Competencia,Nombre de la competencia,Descripción de la competencia,Subcompetencia común,Clave de la subcompetencia,Disciplina de la Subcompetencia,Nombre de la subcompetencia,Descripción de la subcompetencia,Elemento común,Clave del elemento,Elemento (Fin de Aprendizaje de la UF),Temas,Duración del Tema,Subtemas
ARQ26,Developing systemic thinking and founding design proposals through the application of principles from architecture and city history theory from different perspectives of inclusion.,6,,Buildability,Subject,['6'],['6'],,Development,On-site,,['6'],PR-ARQ26-0H10000,,Theoretical and Historical Foundation,Ground your design proposals through the application of principles from theory and history of architecture and city planning from diverse inclusion perspectives.,['6'],['PR-ARQ26-0H10000'],,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",['6'],['PR-ARQ26-0H10000'],Develop problem-solving skills.,Introduction to Complex Systems.,['6'],
['ARQ26'],['Developing systemic thinking and founding design proposals through the application of principles from architecture and city history theory from different perspectives of inclusion.'],['6'],,['Buildability'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-ARQ26-0H10000'],,['Theoretical and Historical Foundation'],['Ground your design proposals through the application of principles from theory and history of architecture and city planning from diverse inclusion perspectives.'],['6'],['PR-ARQ26-0H10000'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-ARQ26-0H10000'],Critical Analysis and Problem Resolution.,Information Synthesis Techniques.,['6'],
Program,Learning Program Outcomes,Semester,GCA Key for Learning Unit,Learning Unit,Type of Learning Unit,Weeks of the UF,Academic Credits of the University Foundation,Evaluation Criteria,Evaluation Type,Teaching Format,"Other Properties (ED, LAB, SOS, SH)",Common Competition,Key of the Competition,Competition Discipline,Competition Name,Description of the competition,Common Sub-competency,['Key of the Competition'],Discipline of the Subspecialty,['Competition Name'],['Description of the competition'],Common Element,Element Key,Learning Element (End of Learning of the UF),Topics,Duration of the Topic,Topics
['ARQ26'],Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of energy.,['6'],,Sustainable Design,['Subject'],['6'],['6'],,Implementation,['On-site'],,['6'],['PR-ARQ26-0H10000'],,Prácticas Sustentables en Edificación,Sustainable Design Principles in Building Construction and Architectural Spaces,['6'],['PR-ARQ26-0H10000'],,Investigación y Desarrollo,Develop research projects to improve energy efficiency and reduce environmental impact in construction.,['6'],PR-ARQ27-010101,Diseño para la Sustentabilidad.,Evaluation of Environmental Consequences.,['6'],
['ARQ26'],['Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of energy.'],['6'],,['Sustainable Design'],['Subject'],['6'],['6'],,['Implementation'],['On-site'],,['6'],['PR-ARQ26-0H10000'],,['Prácticas Sustentables en Edificación'],['Sustainable Design Principles in Building Construction and Architectural Spaces'],['6'],['PR-ARQ26-0H10000'],,['Investigación y Desarrollo'],['Develop research projects to improve energy efficiency and reduce environmental impact in construction.'],['6'],['PR-ARQ27-010101'],Sustainable Materials Selection.,Building Information Modelling,['6'],['Program']
INGE26,Design and develop automated systems for industrial process control and monitoring.,['6'],,Analysis of Circuits,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],PR-INGE26-0A1B001,,Foundations of Electronics,Foundations of your design proposals shall be based on the application of principles from electronics and automation.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Systemic Thinking Development,Automation System Design,['6'],
['INGE26'],Designing and developing prototypes of electronic instruments for measuring and controlling industrial processes.,['6'],,['Analysis of Circuits'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INGE26-0A1B001'],,['Foundations of Electronics'],['Foundations of your design proposals shall be based on the application of principles from electronics and automation.'],['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Design and develop prototypes.,Electronic Circuits Analysis.,['6'],['Program']
['ARQ26'],Developing skills for analyzing and designing effective information systems.,['6'],,Systems Design,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INGE26-0A1B001'],,['Theoretical and Historical Foundation'],Foundations of Design Proposals through the Application of Principles from Computer Science Theory and History,['6'],PR-INF26-0A10002,,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systemic Thinking Development'],Requirements Analysis of the System.,['6'],
['ARQ26'],Design a system of information that meets the needs of users.,['6'],,['Systems Design'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INF26-0A10002'],,['Theoretical and Historical Foundation'],['Foundations of Design Proposals through the Application of Principles from Computer Science Theory and History'],['6'],['PR-INF26-0A10002'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systemic Thinking Development'],User Interface Machine Design,['6'],['Program']
['INGE26'],Develop skills for analyzing and resolving problems in the field of computer engineering.,['6'],,Algorithms,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],PR-IN29-0B10000,,Analysis of Algorithms,Complexity Theory Applications for Evaluating and Comparing Different Algorithms,['6'],['PR-IN29-0B10000'],,['Research'],Designs and implements solutions for specific problems using programming languages.,['6'],['PR-IN29-0B10000'],Developing the ability of logical reasoning.,Data Structures.,['6'],
