Programa,Fines de Aprendizaje del Programa,Semestre,Clave de UF (GCA),Unidad de Formación,Tipo de UF,Semanas de la UF,Créditos Académicos de la UF,Criterios de Evaluación,Tipo de Evaluación,Formato de Impartición,"Otras Propiedades (ED, LAB, SOS, SH)",Competencia común ,Clave de la competencia,Disciplina de la Competencia,Nombre de la competencia,Descripción de la competencia,Subcompetencia común,Clave de la subcompetencia,Disciplina de la Subcompetencia,Nombre de la subcompetencia,Descripción de la subcompetencia,Elemento común,Clave del elemento,Elemento (Fin de Aprendizaje de la UF),Temas,Duración del Tema,Subtemas
ARQ26,Developing systemic thinking and founding design proposals through the application of principles from architecture and urban planning theory and history from different perspectives of inclusion.,6,,Buildability,Subject,['6'],['6'],,Development,On-site,,['6'],PR-ARQ26-0H10000,,Theoretical and Historical Foundation,Base Design Proposals on Principles of Architecture and Urban Studies Theory and History from Different Perspectives of Inclusion.,['6'],['PR-ARQ26-0H10000'],,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",['6'],['PR-ARQ26-0H10000'],Develop problem-solving skills.,Introduction to Complex Systems.,['6'],
['ARQ26'],['Developing systemic thinking and founding design proposals through the application of principles from architecture and urban planning theory and history from different perspectives of inclusion.'],['6'],,['Buildability'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-ARQ26-0H10000'],,['Theoretical and Historical Foundation'],['Base Design Proposals on Principles of Architecture and Urban Studies Theory and History from Different Perspectives of Inclusion.'],['6'],['PR-ARQ26-0H10000'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-ARQ26-0H10000'],Critical Analysis and Problem Solving.,Information Synthesis Techniques.,['6'],
Program,Learning Outcomes of the Program,Semester,Course Key (GCA),Learning Unit,Type of Learning Unit,Semesters of the University Foundation,Academic Credits of the University Foundation,Evaluation Criteria,Type of Evaluation,Teaching Format,"Other Properties (ED, LAB, SOS, SH)",Common Competition,Competition Key,Competition Discipline,Competition Name,Description of the competition,Common Sub-Competence,['Competition Key'],Field of the Sub-Skill Competence,['Competition Name'],['Description of the competition'],Common Element,Element Key,Learning Element (End of Learning from the UF),Themes,Duration of the Topic,Topics
['ARQ26'],Develop skills for designing and building sustainable and efficient architectural spaces in terms of resources and energy.,['6'],,Design Sostenible,['Subject'],['6'],['6'],,Implementation,['On-site'],,['6'],['PR-ARQ26-0H10000'],,Prácticas Sostenibles de Edificación,Sustainable Design Principles for Building Construction and Architectural Spaces.,['6'],['PR-ARQ26-0H10000'],,Investigación y Desarrollo,Develop research projects to improve energy efficiency and reduce environmental impact in construction.,['6'],PR-ARQ27-010101,Desarrollo para la Sustentabilidad.,Evaluación del Impacto Ambiental,['6'],
['ARQ26'],['Develop skills for designing and building sustainable and efficient architectural spaces in terms of resources and energy.'],['6'],,['Design Sostenible'],['Subject'],['6'],['6'],,['Implementation'],['On-site'],,['6'],['PR-ARQ26-0H10000'],,['Prácticas Sostenibles de Edificación'],['Sustainable Design Principles for Building Construction and Architectural Spaces.'],['6'],['PR-ARQ26-0H10000'],,['Investigación y Desarrollo'],['Develop research projects to improve energy efficiency and reduce environmental impact in construction.'],['6'],['PR-ARQ27-010101'],Sustainable Materials Selection.,Building Information Modelling.,['6'],['Program']
INGE26,Designing and Developing Automated Systems for Industrial Process Control and Monitoring.,['6'],,Circuits Analysis,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],PR-INGE26-0A1B001,,Foundations of Electronics,Ground your design proposals by applying the principles of electronics and automation.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Systemic Thinking Development,Automation System Design,['6'],
['INGE26'],Design and development of prototypes for electronic instruments for measuring and controlling industrial processes.,['6'],,['Circuits Analysis'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INGE26-0A1B001'],,['Foundations of Electronics'],['Ground your design proposals by applying the principles of electronics and automation.'],['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Design and develop prototypes.,Electronic Circuit Analysis,['6'],['Program']
['ARQ26'],Develop skills for analyzing and designing effective information systems.,['6'],,Systems Design,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INGE26-0A1B001'],,['Theoretical and Historical Foundation'],Base your design proposals on the application of principles from the theory and history of computer science.,['6'],PR-INF26-0A10002,,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systemic Thinking Development'],System Requirements Analysis,['6'],
['ARQ26'],Design a System Information That Meets User Needs,['6'],,['Systems Design'],['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],['PR-INF26-0A10002'],,['Theoretical and Historical Foundation'],['Base your design proposals on the application of principles from the theory and history of computer science.'],['6'],['PR-INF26-0A10002'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systemic Thinking Development'],Human-Machine Interface Design,['6'],['Program']
['INGE26'],Develop skills for analyzing and solving problems in the field of computer engineering.,['6'],,Algorithms,['Subject'],['6'],['6'],,['Development'],['On-site'],,['6'],PR-IN29-0B10000,,Algorithm Analysis,Complexity Theory for Evaluating and Comparing Different Algorithms,['6'],['PR-IN29-0B10000'],,['Research'],Designs and implements solutions for specific problems using programming languages.,['6'],['PR-IN29-0B10000'],Develop Logical Reasoning Capacity,Data Structures.,['6'],
