Programa,Fines de Aprendizaje del Programa,Semestre,Clave de UF (GCA),Unidad de Formación,Tipo de UF,Semanas de la UF,Créditos Académicos de la UF,Criterios de Evaluación,Tipo de Evaluación,Formato de Impartición,"Otras Propiedades (ED, LAB, SOS, SH)",Competencia común ,Clave de la competencia,Disciplina de la Competencia,Nombre de la competencia,Descripción de la competencia,Subcompetencia común,Clave de la subcompetencia,Disciplina de la Subcompetencia,Nombre de la subcompetencia,Descripción de la subcompetencia,Elemento común,Clave del elemento,Elemento (Fin de Aprendizaje de la UF),Temas,Duración del Tema,Subtemas
ARQ26,Developing systemic thinking and grounding design proposals through the application of principles from the theory and history of architecture and city,6,,Constructibility,Subject,['6'],['6'],,Development,On-Site,,['6'],PR-ARQ26-0H10000,,Theoretical and Historical Fundamentals,Foundate your design proposals through the application of principles from architecture and urban planning theory and history from diverse inclusion perspectives.,['6'],['PR-ARQ26-0H10000'],,Research,"Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.",['6'],['PR-ARQ26-0H10000'],Develop problem-solving skills.,Introduction to Complex Systems.,['6'],
['ARQ26'],['Developing systemic thinking and grounding design proposals through the application of principles from the theory and history of architecture and city'],['6'],,['Constructibility'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-ARQ26-0H10000'],,['Theoretical and Historical Fundamentals'],['Foundate your design proposals through the application of principles from architecture and urban planning theory and history from diverse inclusion perspectives.'],['6'],['PR-ARQ26-0H10000'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-ARQ26-0H10000'],Critical Analysis and Problem Solving.,Information Synthesis Techniques.,['6'],
Program,Learning Outcomes of the Program,Semester,GCA Key for Learning Unit (UF),Learning Unit,Type of Learning Unit,Weeks of the UF,Academic Credits of the UF,Assessment Criteria,Type of Evaluation,Teaching Format,"Other Properties (ED, LAB, SOS, SH)",Common Competence,Key of the Competence,Subject of Competition,Competition Name,Description of the competition,Common Sub-Competence,['Key of the Competence'],Discipline of the Sub-Competence,['Competition Name'],['Description of the competition'],Common Element,Element Key,Learning Element (End of Learning at the UF),Topics,Duration of the Theme,Subjects
['ARQ26'],Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of energy.,['6'],,Sustainable Design,['Subject'],['6'],['6'],,Implementation,['On-Site'],,['6'],['PR-ARQ26-0H10000'],,Prácticas de Edificación Sostenible,Apply sustainable design principles in building construction and architectural spaces.,['6'],['PR-ARQ26-0H10000'],,Investigación y Desarrollo,Develop research projects to improve energy efficiency and reduce environmental impact in construction.,['6'],PR-ARQ27-010101,Desarrollo para la Sustentabilidad.,Evaluation of Environmental Effects,['6'],
['ARQ26'],['Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of energy.'],['6'],,['Sustainable Design'],['Subject'],['6'],['6'],,['Implementation'],['On-Site'],,['6'],['PR-ARQ26-0H10000'],,['Prácticas de Edificación Sostenible'],['Apply sustainable design principles in building construction and architectural spaces.'],['6'],['PR-ARQ26-0H10000'],,['Investigación y Desarrollo'],['Develop research projects to improve energy efficiency and reduce environmental impact in construction.'],['6'],['PR-ARQ27-010101'],Selection of Sustainable Materials,Building Information Modelling,['6'],['Program']
INGE26,Design and develop automation systems for industrial process control and monitoring.,['6'],,Analysis of Circuits,['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],PR-INGE26-0A1B001,,Fundamentals of Electronics,Foundations of Design Proposal based on the application of principles from Electronics and Automation.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Developing Systemic Thinking.,Automated System Design.,['6'],
['INGE26'],Development of Electronic Prototypes for Industrial Process Measurement and Control Instrumentation Design.,['6'],,['Analysis of Circuits'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGE26-0A1B001'],,['Fundamentals of Electronics'],['Foundations of Design Proposal based on the application of principles from Electronics and Automation.'],['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Design and develop prototypes.,Electronic Circuit Analysis,['6'],['Program']
['ARQ26'],Developing skills for analyzing and designing effective information systems.,['6'],,Design of Systems,['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGE26-0A1B001'],,['Theoretical and Historical Fundamentals'],Ground your design proposals through the application of principles from the theory and history of computer science.,['6'],PR-INF26-0A10002,,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Developing Systemic Thinking.'],System Requirements Analysis,['6'],
['ARQ26'],Designing an Information Systems (IS) framework that meets the needs of users.,['6'],,['Design of Systems'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INF26-0A10002'],,['Theoretical and Historical Fundamentals'],['Ground your design proposals through the application of principles from the theory and history of computer science.'],['6'],['PR-INF26-0A10002'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Developing Systemic Thinking.'],User Interface Design,['6'],['Program']
['INGE26'],Developing skills for analyzing and solving problems in the field of computer engineering.,['6'],,Algorithms,['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],PR-IN29-0B10000,,Algorithm Analysis,Complexity Theory Applied to Evaluate and Compare Different Algorithms,['6'],['PR-IN29-0B10000'],,['Research'],Designs and implements solutions for specific problems using programming languages.,['6'],['PR-IN29-0B10000'],Developing Logical Reasoning Ability.,Data Structures.,['6'],
['INGE26'],Design and Develop Efficient and Scalable Information Systems.,['6'],,['Algorithms'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-IN29-0B10000'],,['Algorithm Analysis'],['Complexity Theory Applied to Evaluate and Compare Different Algorithms'],['6'],['PR-INF26-0A10002'],,['Research'],['Designs and implements solutions for specific problems using programming languages.'],['6'],['PR-IN29-0B10000'],Develop Critical Thinking Skills,Operating Systems,['6'],['Program']
['INGE26'],Design and develop information systems for decision-making.,['6'],,Analysis,['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-IN29-0B10000'],,['Theoretical and Historical Fundamentals'],Ground your design proposals by applying the principles of engineering and information theory from diverse inclusive perspectives.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],PR-INGE28-0B10002,['Developing Systemic Thinking.'],System Modeling Techniques.,['6'],
['INGE26'],['Design and develop information systems for decision-making.'],['6'],,['Analysis'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGE28-0B10002'],,['Theoretical and Historical Fundamentals'],['Ground your design proposals by applying the principles of engineering and information theory from diverse inclusive perspectives.'],['6'],['PR-INGE28-0B10002'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGE28-0B10002'],['Developing Systemic Thinking.'],Data Analysis and Visualization.,['6'],['Program']
['INGE26'],Developing Effective Communication Skills in English for Interacting with Native and Non-Native Speakers.,['6'],,Communication,['Subject'],['6'],['6'],,['Development'],Online,,['6'],PR-INGL-0B1A001,,Linguistic Foundation,Ground your communication proposals through the application of principles of English grammar and phonetics.,['6'],['PR-INGL-0B1A001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGL-0B1A001'],Audio Development,Active Listening Techniques.,['6'],
['INGE26'],Analyze and comprehend texts in English to apply knowledge in various contexts.,['6'],,['Communication'],['Subject'],['6'],['6'],,['Development'],['Online'],,['6'],['PR-INGL-0B1A001'],,['Linguistic Foundation'],['Ground your communication proposals through the application of principles of English grammar and phonetics.'],['6'],['PR-INGL-0B1A001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGL-0B1A001'],Develop Reading Comprehension,Complex Text Analysis.,['6'],['Program']
['INGE26'],Develop skills for analysis and problem-solving in engineering.,['6'],,Calculator,['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGE26-0A1B001'],,Foundations of Engineering,Ground your design proposals by applying the principles of engineering theory and history from different inclusion perspectives.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],['Developing Systemic Thinking.'],['Information Synthesis Techniques.'],['6'],
['INGE26'],Design Systems for Engineering Problem-Solving,['6'],,['Calculator'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGE26-0A1B001'],,['Foundations of Engineering'],['Ground your design proposals by applying the principles of engineering theory and history from different inclusion perspectives.'],['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],['Developing Systemic Thinking.'],Complex Systems Analysis.,['6'],['Program']
['ARQ26'],Design and develop computer solutions for complex problems.,['6'],,['Algorithms'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGE26-0A1B001'],,['Theoretical and Historical Fundamentals'],Underpin your design proposals by applying the principles of computer science theory and history from different inclusion perspectives.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],['Developing Systemic Thinking.'],['Information Synthesis Techniques.'],['6'],
['ARQ26'],Design information systems for solving complex problems in intricate environments.,['6'],,['Algorithms'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGE26-0A1B001'],,['Theoretical and Historical Fundamentals'],['Underpin your design proposals by applying the principles of computer science theory and history from different inclusion perspectives.'],['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develops research for the construction of proposals, projects or products using diverse methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],['Developing Systemic Thinking.'],['Complex Systems Analysis.'],['6'],['Program']
['INGE26'],Develop skills for analyzing and solving problems in the field of software engineering.,['6'],,['Algorithms'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGL-0B1A001'],,['Algorithm Analysis'],Software Engineering Problem Solving Algorithms Design,['6'],['PR-INGL-0B1A001'],,['Research'],Conduct research on specific problems in the field of software engineering.,['6'],['PR-INGL-0B1A001'],Develop programming skills.,Advanced Programming Techniques,['6'],
['INGE26'],Design and develop innovative solutions in the field of software engineering.,['6'],,['Algorithms'],['Subject'],['6'],['6'],,['Development'],['On-Site'],,['6'],['PR-INGL-0B1A001'],,['Algorithm Analysis'],['Software Engineering Problem Solving Algorithms Design'],['6'],['PR-INGL-0B1A001'],,['Research'],['Conduct research on specific problems in the field of software engineering.'],['6'],['PR-INGL-0B1A001'],['Develop programming skills.'],Software Development Projects,['6'],['Program']
