Programa,Fines de Aprendizaje del Programa,Semestre,Clave de UF (GCA),Unidad de Formación,Tipo de UF,Semanas de la UF,Créditos Académicos de la UF,Criterios de Evaluación,Tipo de Evaluación,Formato de Impartición,"Otras Propiedades (ED, LAB, SOS, SH)",Competencia común ,Clave de la competencia,Disciplina de la Competencia,Nombre de la competencia,Descripción de la competencia,Subcompetencia común,Clave de la subcompetencia,Disciplina de la Subcompetencia,Nombre de la subcompetencia,Descripción de la subcompetencia,Elemento común,Clave del elemento,Elemento (Fin de Aprendizaje de la UF),Temas,Duración del Tema,Subtemas
ARQ26,Develop Systemic Thinking and Founding Design Proposals Through the Application of Principles from Architecture and City Theory from Different Inclusive Perspectives.,6,,Constructibility,Subject,['6'],['6'],,Development,Face-to-Face,,['6'],PR-ARQ26-0H10000,,Theoretical and Historical Foundation,Ground your design proposals by applying the principles of architectural and urban theory and history from diverse inclusive perspectives.,['6'],['PR-ARQ26-0H10000'],,Research,"Develop research for the construction of proposals, projects or products using various methodologies and technological tools.",['6'],['PR-ARQ26-0H10000'],Develop problem-solving skills.,Introduction to Complex Systems.,['6'],
['ARQ26'],['Develop Systemic Thinking and Founding Design Proposals Through the Application of Principles from Architecture and City Theory from Different Inclusive Perspectives.'],['6'],,['Constructibility'],['Subject'],['6'],['6'],,['Development'],['Face-to-Face'],,['6'],['PR-ARQ26-0H10000'],,['Theoretical and Historical Foundation'],['Ground your design proposals by applying the principles of architectural and urban theory and history from diverse inclusive perspectives.'],['6'],['PR-ARQ26-0H10000'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-ARQ26-0H10000'],Critical Analysis and Problem Resolution.,Information Synthesis Techniques.,['6'],
Program,Learning Outcomes of the Program,Semester,GCA Key of Learning Unit,Learning Unit,Type of UF,Semester of the UF,Academic Credits of the University Foundation,Evaluating Criteria,Type of Assessment,Teaching Format,"Other Properties (ED, LAB, SOS, SH)",Common Competition,Competence Key,Competition Discipline,Name of the competition,Description of the Competition,Common Sub-Competency,['Competence Key'],Subject Discipline of the Sub-Competence,['Name of the competition'],['Description of the Competition'],Common Element,Element Key,Learning Element (End of Learning of the LF),Themes,Duration of the Topic,Topics
['ARQ26'],Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of resources and energy.,['6'],,Sustainable Design,['Subject'],['6'],['6'],,Implementation,['Face-to-Face'],,['6'],['PR-ARQ26-0H10000'],,Prácticas Sostenibles en Edificación,Apply Sustainable Design Principles in Building Construction and Architectural Spaces.,['6'],['PR-ARQ26-0H10000'],,Investigación y Desarrollo,Develop research projects to improve energy efficiency and reduce environmental impact in construction.,['6'],PR-ARQ27-010101,Design for Sustainability,Impacto Ambiental Evaluación,['6'],
['ARQ26'],['Develop skills for designing and constructing sustainable and resource-efficient architectural spaces in terms of resources and energy.'],['6'],,['Sustainable Design'],['Subject'],['6'],['6'],,['Implementation'],['Face-to-Face'],,['6'],['PR-ARQ26-0H10000'],,['Prácticas Sostenibles en Edificación'],['Apply Sustainable Design Principles in Building Construction and Architectural Spaces.'],['6'],['PR-ARQ26-0H10000'],,['Investigación y Desarrollo'],['Develop research projects to improve energy efficiency and reduce environmental impact in construction.'],['6'],['PR-ARQ27-010101'],Sustainable Materials Selection.,Building Information Modeling (BIM),['6'],['Program']
INGE26,Designing and developing automated systems for industrial process control and monitoring.,['6'],,Circuits Analysis,['Subject'],['6'],['6'],,['Development'],['Face-to-Face'],,['6'],PR-INGE26-0A1B001,,Foundations of Electronics,Ground your design proposals through the application of principles from electronics and automation.,['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Systems Thinking Development,Automation System Design,['6'],
['INGE26'],Design and Development of Prototypes for Electronic Instruments for Industrial Process Measurement and Control,['6'],,['Circuits Analysis'],['Subject'],['6'],['6'],,['Development'],['Face-to-Face'],,['6'],['PR-INGE26-0A1B001'],,['Foundations of Electronics'],['Ground your design proposals through the application of principles from electronics and automation.'],['6'],['PR-INGE26-0A1B001'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INGE26-0A1B001'],Design and develop prototypes.,Electronic Circuit Analysis,['6'],['Program']
['ARQ26'],Developing skills for analyzing and designing effective information systems.,['6'],,Systems Design,['Subject'],['6'],['6'],,['Development'],['Face-to-Face'],,['6'],['PR-INGE26-0A1B001'],,['Theoretical and Historical Foundation'],Foundations of your design proposals based on the application of principles from computer science theory and history.,['6'],PR-INF26-0A10002,,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systems Thinking Development'],System Requirements Analysis.,['6'],
['ARQ26'],Design an Information Systems Architecture that Meets the Needs of Users.,['6'],,['Systems Design'],['Subject'],['6'],['6'],,['Development'],['Face-to-Face'],,['6'],['PR-INF26-0A10002'],,['Theoretical and Historical Foundation'],['Foundations of your design proposals based on the application of principles from computer science theory and history.'],['6'],['PR-INF26-0A10002'],,['Research'],"['Develop research for the construction of proposals, projects or products using various methodologies and technological tools.']",['6'],['PR-INF26-0A10002'],['Systems Thinking Development'],User Interface Design for Machine.,['6'],['Program']
['INGE26'],Develop skills for analyzing and solving problems in the field of computer engineering.,['6'],,Algorithms,['Subject'],['6'],['6'],,['Development'],['Face-to-Face'],,['6'],PR-IN29-0B10000,,Algorithm Analysis,Evaluación y Comparación de Algoritmos mediante Conceptos de Teoría de Complejidad,['6'],['PR-IN29-0B10000'],,['Research'],Designs and implements solutions for specific problems using programming languages.,['6'],['PR-IN29-0B10000'],Develop logical reasoning ability.,Data Structures.,['6'],
